rainfall_date;mm;basin_id
2020-04-24;2.6;2070594040b
2020-04-25;2.2;2070594040b
2020-04-26;3.2;2070594040b
2020-04-27;2.8;2070594040b
2020-04-28;2.7;2070594040b
2020-04-29;3.3;2070594040b
2020-04-30;3.2;2070594040b
2020-05-01;2.8;2070594040b
2020-05-02;3.0;2070594040b
2020-05-03;2.8;2070594040b
2020-05-04;3.0;2070594040b
2020-05-05;2.8;2070594040b
2020-05-06;3.8;2070594040b
2020-05-07;2.8;2070594040b
2020-05-08;2.8;2070594040b
2020-05-09;2.6;2070594040b
2020-05-10;3.0;2070594040b
2020-05-11;3.4;2070594040b
2020-05-12;3.1;2070594040b
2020-05-13;3.0;2070594040b
2020-05-14;3.1;2070594040b
2020-05-15;3.1;2070594040b
2020-05-16;3.1;2070594040b
2020-05-17;2.7;2070594040b
2020-05-18;3.2;2070594040b
2020-05-19;2.5;2070594040b
2020-05-20;3.0;2070594040b
2020-05-21;3.4;2070594040b
2020-05-22;3.4;2070594040b
2020-05-23;6.7;2070594040b
2020-05-24;6.9;2070594040b
2020-05-25;5.0;2070594040b
2020-05-26;5.7;2070594040b
2020-05-27;6.7;2070594040b
2020-05-28;4.9;2070594040b
2020-05-29;5.7;2070594040b
2020-05-30;6.0;2070594040b
2020-05-31;4.8;2070594040b
2020-06-01;4.9;2070594040b
2020-06-02;5.6;2070594040b
2020-06-03;5.8;2070594040b
2020-06-04;6.1;2070594040b
2020-06-05;6.4;2070594040b
2020-06-06;5.6;2070594040b
2020-06-07;5.1;2070594040b
2020-06-08;5.6;2070594040b
2020-06-09;6.1;2070594040b
2020-06-10;5.6;2070594040b
2020-06-11;5.5;2070594040b
2020-06-12;4.8;2070594040b
2020-06-13;5.4;2070594040b
2020-06-14;5.6;2070594040b
2020-06-15;5.1;2070594040b
2020-06-16;5.1;2070594040b
2020-06-17;5.9;2070594040b
2020-06-18;5.0;2070594040b
2020-06-19;5.2;2070594040b
2020-06-20;5.4;2070594040b
2020-06-21;5.3;2070594040b
2020-06-22;100;2070594040b
2020-06-23;120;2070594040b
2020-06-24;150;2070594040b
2020-06-25;180;2070594040b
2020-06-26;210;2070594040b
2020-06-27;220;2070594040b
2020-06-28;240;2070594040b
2020-06-29;100;2070594040b
2020-06-30;120;2070594040b
2020-07-01;150;2070594040b
2020-07-02;180;2070594040b
2020-07-03;210;2070594040b
2020-07-04;220;2070594040b
2020-07-05;240;2070594040b
2020-07-06;271.4285714;2070594040b
2020-07-07;295.7142857;2070594040b
2020-07-08;320.0000000;2070594040b
2020-07-09;344.2857143;2070594040b
2020-07-10;368.5714286;2070594040b
2020-07-11;392.8571429;2070594040b
2020-07-12;417.1428571;2070594040b
2020-07-13;441.4285714;2070594040b
2020-07-14;465.7142857;2070594040b
2020-07-15;490.0000000;2070594040b
2020-07-16;514.2857143;2070594040b
2020-07-17;538.5714286;2070594040b
2020-07-18;562.8571429;2070594040b
2020-07-19;587.1428571;2070594040b
2020-07-20;611.4285714;2070594040b
2020-07-21;635.7142857;2070594040b
2020-07-22;660.0000000;2070594040b
2020-07-23;684.2857143;2070594040b
2020-07-24;708.5714286;2070594040b
2020-07-25;732.8571429;2070594040b
